Latitude,Longitude,Rainfall,MaxTemp,MinTemp
11.75,79.25,0.0,29.840021,22.307745
11.75,79.5,0.0,29.840021,22.307745
11.75,79.75,0.0,29.840021,22.307745
12.0,75.25,0.0,29.640583,17.8523
12.0,75.5,0.0,29.640583,17.8523
12.0,75.75,0.0,29.640583,17.8523
12.0,76.0,0.0,29.640583,17.8523
12.0,76.25,0.0,28.460457,16.502714
12.0,76.5,0.0,28.460457,16.502714
12.0,76.75,0.0,28.460457,16.502714
12.0,77.0,0.0,28.460457,16.502714
12.0,77.25,0.0,27.32395,15.617114
12.0,77.5,0.0,27.32395,15.617114
12.0,77.75,0.0,27.32395,15.617114
12.0,78.0,0.0,27.32395,15.617114
12.0,78.25,0.0,30.028908,20.331842
12.0,78.5,0.0,30.028908,20.331842
12.0,78.75,0.0,30.028908,20.331842
12.0,79.0,0.0,30.028908,20.331842
12.0,79.25,0.0,29.840021,22.307745
12.0,79.5,0.0,29.840021,22.307745
12.0,79.75,0.0,29.840021,22.307745
12.25,75.0,0.0,31.348473,18.435123
12.25,75.25,0.0,30.739792,17.930992
12.25,75.5,0.0,30.739792,17.930992
12.25,75.75,0.0,30.739792,17.930992
12.25,76.0,0.0,30.739792,17.930992
12.25,76.25,0.0,26.548243,14.21395
12.25,76.5,0.0,26.548243,14.21395
12.25,76.75,0.0,26.548243,14.21395
12.25,77.0,0.0,26.548243,14.21395
12.25,77.25,0.0,27.816359,16.148079
12.25,77.5,0.0,27.816359,16.148079
12.25,77.75,0.0,27.816359,16.148079
12.25,78.0,0.0,27.816359,16.148079
12.25,78.25,0.0,28.528814,18.339314
12.25,78.5,0.0,28.528814,18.339314
12.25,78.75,0.0,28.528814,18.339314
12.25,79.0,0.0,28.528814,18.339314
12.25,79.25,0.0,29.282347,20.790886
12.25,79.5,0.0,29.282347,20.790886
12.25,79.75,0.0,29.282347,20.790886
12.5,75.0,0.0,31.348473,18.435123
12.5,75.25,0.0,30.739792,17.930992
12.5,75.5,0.0,30.739792,17.930992
12.5,75.75,0.0,30.739792,17.930992
12.5,76.0,0.0,30.739792,17.930992
12.5,76.25,0.0,26.548243,14.21395
12.5,76.5,0.0,26.548243,14.21395
12.5,76.75,0.0,26.548243,14.21395
12.5,77.0,0.0,26.548243,14.21395
12.5,77.25,0.0,27.816359,16.148079
12.5,77.5,0.0,27.816359,16.148079
12.5,77.75,0.0,27.816359,16.148079
12.5,78.0,0.0,27.816359,16.148079
12.5,78.25,0.0,28.528814,18.339314
12.5,78.5,0.0,28.528814,18.339314
12.5,78.75,0.0,28.528814,18.339314
12.5,79.0,0.0,28.528814,18.339314
12.5,79.25,0.0,29.282347,20.790886
12.5,79.5,0.0,29.282347,20.790886
12.5,79.75,0.0,29.282347,20.790886
12.5,80.0,0.0,29.282347,20.790886
12.75,74.75,0.0,31.348473,18.435123
12.75,75.0,0.0,31.348473,18.435123
12.75,75.25,0.0,30.739792,17.930992
12.75,75.5,0.0,30.739792,17.930992
12.75,75.75,0.0,30.739792,17.930992
12.75,76.0,0.0,30.739792,17.930992
12.75,76.25,0.0,26.548243,14.21395
12.75,76.5,0.0,26.548243,14.21395
12.75,76.75,0.0,26.548243,14.21395
12.75,77.0,0.0,26.548243,14.21395
12.75,77.25,0.0,27.816359,16.148079
12.75,77.5,0.0,27.816359,16.148079
12.75,77.75,0.0,27.816359,16.148079
12.75,78.0,0.0,27.816359,16.148079
12.75,78.25,0.0,28.528814,18.339314
12.75,78.5,0.0,28.528814,18.339314
12.75,78.75,0.0,28.528814,18.339314
12.75,79.0,0.0,28.528814,18.339314
12.75,79.25,0.0,29.282347,20.790886
12.75,79.5,0.0,29.282347,20.790886
12.75,79.75,0.0,29.282347,20.790886
12.75,80.0,0.0,29.282347,20.790886
13.0,74.75,0.0,31.348473,18.435123
13.0,75.0,0.0,31.348473,18.435123
13.0,75.25,0.0,30.739792,17.930992
13.0,75.5,0.0,30.739792,17.930992
13.0,75.75,0.0,30.739792,17.930992
13.0,76.0,0.0,30.739792,17.930992
13.0,76.25,0.0,26.548243,14.21395
13.0,76.5,0.0,26.548243,14.21395
13.0,76.75,0.0,26.548243,14.21395
13.0,77.0,0.0,26.548243,14.21395
13.0,77.25,0.0,27.816359,16.148079
13.0,77.5,0.0,27.816359,16.148079
13.0,77.75,0.0,27.816359,16.148079
13.0,78.0,0.0,27.816359,16.148079
13.0,78.25,0.0,28.528814,18.339314
13.0,78.5,0.0,28.528814,18.339314
13.0,78.75,0.0,28.528814,18.339314
13.0,79.0,0.0,28.528814,18.339314
